GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JavaStreams,com.rdreams.interviewprep.leetcode.dsa.arrays101,MaxConsecutiveOnes,0,68,0,12,0,13,0,10,0,4
JavaStreams,com.rdreams.interviewquest.coforge,EvenLongestWord,0,34,0,2,0,7,0,5,0,4
JavaStreams,com.rdreams.codingchallenges.geeksforgeeks,SquareHollow,0,50,0,10,0,10,0,8,0,3
JavaStreams,com.rdreams.codingchallenges.geeksforgeeks,SquareFill,0,31,0,2,0,8,0,4,0,3
JavaStreams,com.rdreams.interviewquest.athenahealth.mts,Student,0,78,0,12,0,18,0,14,0,8
JavaStreams,com.rdreams.interviewquest.athenahealth.mts,StudentMarklist,0,32,0,0,0,8,0,3,0,3
JavaStreams,com.rdreams.interviewquest.athenahealth.amts,ArraySum,0,10,0,0,0,2,0,2,0,2
JavaStreams,com.rdreams.interviewquest.athenahealth.amts,CharFrequency,0,17,0,0,0,4,0,3,0,3
JavaStreams,com.rdreams.interviewquest.athenahealth.amts,StringReverse,0,19,0,0,0,6,0,3,0,3
JavaStreams,com.rdreams.interviewquest.athenahealth.amts,UniqueElements,0,11,0,0,0,2,0,2,0,2
JavaStreams,com.rdreams.interviewprep.medium,DuplicateValues,0,43,0,4,0,9,0,4,0,2
